painting	paintingLabel	depictedLabels	depicteds	Genre
http://www.wikidata.org/entity/Q17334315	Judith with the Head of Holofernes	Judith	http://www.wikidata.org/entity/Q28532552	Religion
http://www.wikidata.org/entity/Q3944456	The Holy Family	woman@Virgin Mary@boy@Child Jesus@Nursing Madonna	http://www.wikidata.org/entity/Q467@http://www.wikidata.org/entity/Q345@http://www.wikidata.org/entity/Q3010@http://www.wikidata.org/entity/Q942467@http://www.wikidata.org/entity/Q1576172	Religion
http://www.wikidata.org/entity/Q3944457	The Holy Family	woman@Virgin Mary@boy@Child Jesus	http://www.wikidata.org/entity/Q467@http://www.wikidata.org/entity/Q345@http://www.wikidata.org/entity/Q3010@http://www.wikidata.org/entity/Q942467	Religion
http://www.wikidata.org/entity/Q3944458	Holy Family	woman@Virgin Mary@boy@Child Jesus	http://www.wikidata.org/entity/Q467@http://www.wikidata.org/entity/Q345@http://www.wikidata.org/entity/Q3010@http://www.wikidata.org/entity/Q942467	Religion
http://www.wikidata.org/entity/Q3944459	The Holy Family with the Young Saint John the Baptist	woman@Virgin Mary@boy@Child Jesus@Child Saint John	http://www.wikidata.org/entity/Q467@http://www.wikidata.org/entity/Q345@http://www.wikidata.org/entity/Q3010@http://www.wikidata.org/entity/Q942467@http://www.wikidata.org/entity/Q1698874	Religion
http://www.wikidata.org/entity/Q17334813	The Virgin and Child	woman@Virgin Mary@boy@mother@Child Jesus	http://www.wikidata.org/entity/Q467@http://www.wikidata.org/entity/Q345@http://www.wikidata.org/entity/Q3010@http://www.wikidata.org/entity/Q7560@http://www.wikidata.org/entity/Q942467	Religion
http://www.wikidata.org/entity/Q17335301	Bathsheba at her Toilet	woman@tree@breast@washing@nipple@umbilicus@White people@fountain@Bathsheba@black people@sitting@group of humans@pedicure	http://www.wikidata.org/entity/Q467@http://www.wikidata.org/entity/Q10884@http://www.wikidata.org/entity/Q9103@http://www.wikidata.org/entity/Q23841@http://www.wikidata.org/entity/Q188641@http://www.wikidata.org/entity/Q43801@http://www.wikidata.org/entity/Q235155@http://www.wikidata.org/entity/Q483453@http://www.wikidata.org/entity/Q272277@http://www.wikidata.org/entity/Q817393@http://www.wikidata.org/entity/Q1144593@http://www.wikidata.org/entity/Q16334295@http://www.wikidata.org/entity/Q1161133	Religion
http://www.wikidata.org/entity/Q2480921	Madonna with Canon Joris van der Paele	woman@Virgin Mary@boy@mother@column@man@arch@eyeglasses@throne@Saint George@mitre@cope@Child Jesus@surplice@canon@body armor@Saint Donatian@Joris van der Paele@Oriental rug	http://www.wikidata.org/entity/Q467@http://www.wikidata.org/entity/Q345@http://www.wikidata.org/entity/Q3010@http://www.wikidata.org/entity/Q7560@http://www.wikidata.org/entity/Q4817@http://www.wikidata.org/entity/Q8441@http://www.wikidata.org/entity/Q12277@http://www.wikidata.org/entity/Q37501@http://www.wikidata.org/entity/Q189233@http://www.wikidata.org/entity/Q48438@http://www.wikidata.org/entity/Q193888@http://www.wikidata.org/entity/Q849829@http://www.wikidata.org/entity/Q942467@http://www.wikidata.org/entity/Q745332@http://www.wikidata.org/entity/Q1104153@http://www.wikidata.org/entity/Q485027@http://www.wikidata.org/entity/Q7401183@http://www.wikidata.org/entity/Q23619030@http://www.wikidata.org/entity/Q1251541	Religion
http://www.wikidata.org/entity/Q17334403	The wrath of Ahasuerus	woman@man@Haman@Esther@Ahasuerus	http://www.wikidata.org/entity/Q467@http://www.wikidata.org/entity/Q8441@http://www.wikidata.org/entity/Q650680@http://www.wikidata.org/entity/Q732413@http://www.wikidata.org/entity/Q1370497	Religion
http://www.wikidata.org/entity/Q3201472	Adoration of the Shepherds	Child Jesus@Adoration of the shepherds	http://www.wikidata.org/entity/Q942467@http://www.wikidata.org/entity/Q1029715	Religion
